#Top: design_1_wrapper   Floorplan: rtl_1   Part: xc7z010clg400-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: austi   on: Thu Dec 25 12:28:12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:35:27 MST 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Package Delay,Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,W5,IOPAD_X1Y71,PS_DDR_DQS_P3_502,70.335,71.042,70.6885,,DDR_54576,DDR_dqs_p[3],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,R2,IOPAD_X1Y70,PS_DDR_DQS_P2_502,59.526,60.124,59.825,,DDR_54576,DDR_dqs_p[2],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,G2,IOPAD_X1Y69,PS_DDR_DQS_P1_502,79.958,80.761,80.3595,,DDR_54576,DDR_dqs_p[1],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,C2,IOPAD_X1Y68,PS_DDR_DQS_P0_502,100.623,101.634,101.1285,,DDR_54576,DDR_dqs_p[0],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,J5,IOPAD_X1Y21,PS_DDR_BA2_502,59.622,60.221,59.9215,,DDR_54576,DDR_ba[2],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,R4,IOPAD_X1Y20,PS_DDR_BA1_502,79.187,79.982,79.5845,,DDR_54576,DDR_ba[1],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,L5,IOPAD_X1Y19,PS_DDR_BA0_502,30.438,30.744,30.591,,DDR_54576,DDR_ba[0],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,F4,IOPAD_X1Y17,PS_DDR_A14_502,64.291,64.937,64.614,,DDR_54576,DDR_addr[14],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,D4,IOPAD_X1Y18,PS_DDR_A13_502,98.361,99.349,98.855,,DDR_54576,DDR_addr[13],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,E4,IOPAD_X1Y16,PS_DDR_A12_502,96.159,97.125,96.642,,DDR_54576,DDR_addr[12],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,G4,IOPAD_X1Y15,PS_DDR_A11_502,60.178,60.783,60.4805,,DDR_54576,DDR_addr[11],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,F5,IOPAD_X1Y14,PS_DDR_A10_502,66.279,66.946,66.6125,,DDR_54576,DDR_addr[10],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,J4,IOPAD_X1Y13,PS_DDR_A9_502,66.915,67.587,67.251,,DDR_54576,DDR_addr[9],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,K1,IOPAD_X1Y12,PS_DDR_A8_502,69.302,69.999,69.6505,,DDR_54576,DDR_addr[8],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,K4,IOPAD_X1Y11,PS_DDR_A7_502,42.325,42.75,42.5375,,DDR_54576,DDR_addr[7],OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
