Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",47.750000,-31.425000,-90.000000,top
"C101","1u","C_0603_1608Metric",45.750000,-31.425000,-90.000000,top
"C102","22u","C_0805_2012Metric",39.300000,-16.000000,-90.000000,top
"C103","22u","C_0805_2012Metric",29.300000,-43.650000,180.000000,top
"C104","22u","C_0805_2012Metric",26.550000,-47.650000,90.000000,top
"C105","22u","C_0805_2012Metric",46.300000,-16.000000,-90.000000,top
"C106","DNP","C_0402_1005Metric",42.837500,-19.750000,180.000000,top
"C107","22u","C_0805_2012Metric",33.200000,-53.700000,-90.000000,top
"C108","100n","C_0402_1005Metric",26.550000,-53.920000,90.000000,top
"C200","10u","C_0603_1608Metric",21.534000,-23.226200,90.000000,top
"C201","10p","C_0402_1005Metric",19.870000,-25.750000,180.000000,top
"C202","100n","C_0402_1005Metric",26.388000,-21.258000,0.000000,top
"C203","100n","C_0402_1005Metric",4.520000,-24.200000,0.000000,top
"C204","100n","C_0402_1005Metric",23.058000,-23.770000,90.000000,top
"C205","10p","C_0402_1005Metric",17.300000,-25.750000,0.000000,top
"C206","100n","C_0402_1005Metric",31.468000,-32.942000,180.000000,top
"C207","100n","C_0402_1005Metric",34.750000,-24.150000,-90.000000,top
"C208","10n","C_0402_1005Metric",23.171600,-28.084900,90.000000,top
"C209","1u","C_0603_1608Metric",21.444400,-29.141900,90.000000,top
"C210","100n","C_0402_1005Metric",23.882400,-4.536000,0.000000,top
"C211","1u","C_0603_1608Metric",19.768000,-29.167900,90.000000,top
"C212","100n","C_0402_1005Metric",47.250000,-23.500000,90.000000,top
"C300","10u","C_0603_1608Metric",8.500000,-34.100000,180.000000,top
"C301","10u","C_0603_1608Metric",8.475000,-35.800000,180.000000,top
"C302","150p","C_0402_1005Metric",21.907500,-54.737500,180.000000,top
"C303","100n","C_0402_1005Metric",22.407500,-53.007500,-90.000000,top
"C304","10u","C_0603_1608Metric",13.906800,-37.985200,90.000000,top
"C305","10u","C_0603_1608Metric",14.156800,-41.245200,90.000000,top
"C306","100n","C_0402_1005Metric",15.656800,-38.485200,90.000000,top
"C307","100n","C_0402_1005Metric",15.656800,-41.745200,90.000000,top
"C308","100n","C_0402_1005Metric",20.420000,-47.300000,0.000000,top
"C309","100n","C_0402_1005Metric",16.386800,-36.485200,180.000000,top
"C310","1n","C_0402_1005Metric",16.907500,-55.237500,0.000000,top
"C311","10u","C_0603_1608Metric",15.656800,-34.985200,180.000000,top
"C312","1n","C_0402_1005Metric",17.990000,-51.687500,0.000000,top
"C313","150p","C_0402_1005Metric",13.918750,-49.887500,90.000000,top
"C314","100n","C_0402_1005Metric",18.250000,-46.850000,180.000000,top
"C315","150p","C_0402_1005Metric",17.406800,-44.495200,0.000000,top
"C400","10u","C_0603_1608Metric",39.990000,-34.955000,180.000000,top
"C401","100n","C_0402_1005Metric",39.700000,-36.400000,180.000000,top
"C402","1u","C_0603_1608Metric",38.218750,-39.941250,-90.000000,top
"C403","1n","C_0402_1005Metric",45.410000,-47.938750,0.000000,top
"C404","1n","C_0402_1005Metric",43.330000,-47.938750,180.000000,top
"C405","150p","C_0402_1005Metric",45.410000,-51.338750,0.000000,top
"C406","100n","C_0402_1005Metric",39.110000,-49.638750,-90.000000,top
"D100","GREEN","LED_0603_1608Metric",54.300000,-16.500000,90.000000,top
"D200","ASMB-MTB1-0A3A2","LED_Avago_PLCC4_3.2x2.8mm_CW",4.700000,-27.300000,-90.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",31.350000,-7.400000,-90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",31.581600,-12.762000,90.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",28.821600,-15.776000,0.000000,top
"D204","PESD3V3L1BA,115","D_SOD-323",25.180800,-15.776000,180.000000,top
"D205","PESD3V3L1BA,115","D_SOD-323",21.500000,-13.000000,-90.000000,top
"D300","PESD3V3L1BA,115","D_SOD-323",18.400000,-58.550000,180.000000,top
"D400","PESD3V3L1BA,115","D_SOD-323",41.600000,-58.500000,0.000000,top
"J200","2x5 1.27mm","PinHeader_2x05_P1.27mm_Vertical_SMD",26.400000,-10.050000,-90.000000,top
"J201","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",56.600000,-26.700000,90.000000,top
"J300","031-5640-1010","AMPHENOL-BNC-031-5640-1010",19.420000,-62.420000,180.000000,top
"J400","031-5640-1010","AMPHENOL-BNC-031-5640-1010",40.500000,-62.500000,180.000000,top
"L100","10n","L_0402_1005Metric",46.750000,-29.150000,180.000000,top
"L101","68u","MWSA0603S",42.800000,-10.000000,0.000000,top
"L200","10n","L_0402_1005Metric",20.451400,-31.237700,180.000000,top
"L201","CMF3216F-900-2P-T","CMC-1206",42.125000,-26.100000,180.000000,top
"R100","10R","R_0805_2012Metric",30.300000,-40.400000,90.000000,top
"R101","100k","R_0402_1005Metric",42.837500,-18.500000,0.000000,top
"R102","22k","R_0402_1005Metric",40.587500,-18.500000,0.000000,top
"R103","1k","R_0402_1005Metric",54.300000,-19.100000,90.000000,top
"R104","1k","R_0402_1005Metric",28.310000,-51.170000,180.000000,top
"R105","1k","R_0402_1005Metric",30.550000,-51.170000,180.000000,top
"R200","1k","R_0402_1005Metric",9.550000,-25.800000,180.000000,top
"R201","1k","R_0402_1005Metric",9.550000,-28.800000,180.000000,top
"R202","1k","R_0402_1005Metric",9.510000,-30.300000,180.000000,top
"R203","10k","R_0402_1005Metric",34.800000,-30.660000,90.000000,top
"R204","10k","R_0402_1005Metric",28.200000,-20.790000,90.000000,top
"R205","0R","R_0402_1005Metric",17.290000,-26.850000,180.000000,top
"R206","10k","R_0402_1005Metric",25.940000,-33.000000,0.000000,top
"R207","49R9","R_0402_1005Metric",31.550000,-15.750000,90.000000,top
"R208","49R9","R_0402_1005Metric",27.750000,-17.960000,90.000000,top
"R209","49R9","R_0402_1005Metric",26.250000,-17.960000,90.000000,top
"R210","49R9","R_0402_1005Metric",21.600000,-10.200000,-90.000000,top
"R211","1k5","R_0402_1005Metric",37.700000,-25.200000,-90.000000,top
"R212","5k1","R_0402_1005Metric",55.200000,-32.700000,180.000000,top
"R213","5k1","R_0402_1005Metric",55.200000,-20.700000,180.000000,top
"R300","49R9","R_0402_1005Metric",10.650000,-34.910000,90.000000,top
"R301","1k","R_0402_1005Metric",21.887500,-57.237500,180.000000,top
"R302","2M2","R_0402_1005Metric",21.907500,-55.987500,0.000000,top
"R303","2M2","R_0402_1005Metric",23.400000,-50.700000,90.000000,top
"R304","6k8","R_0402_1005Metric",16.928750,-53.887500,0.000000,top
"R305","0R","R_0402_1005Metric",18.406800,-35.245200,-90.000000,top
"R306","22k","R_0402_1005Metric",16.240000,-52.187500,-90.000000,top
"R307","12k","R_0402_1005Metric",14.490000,-51.687500,0.000000,top
"R308","1k","R_0402_1005Metric",15.656800,-45.245200,-90.000000,top
"R309","1k","R_0402_1005Metric",18.406800,-45.745200,0.000000,top
"R400","0R","R_0402_1005Metric",42.087500,-35.220000,-90.000000,top
"R401","10k","R_0402_1005Metric",41.700000,-44.250000,0.000000,top
"R402","6k8","R_0402_1005Metric",41.700000,-45.400000,180.000000,top
"R403","22k","R_0402_1005Metric",44.310000,-49.288750,0.000000,top
"R404","12k","R_0402_1005Metric",43.810000,-50.898750,90.000000,top
"R405","49R9","R_0402_1005Metric",40.600000,-54.740000,90.000000,top
"U100","TLV62569DBV","SOT-23-5",42.800000,-16.000000,180.000000,top
"U101","HT7533-1","SOT-89-3",30.800000,-47.400000,0.000000,top
"U102","MCP6001T-E/OT","SOT-23-5",29.412500,-53.620000,180.000000,top
"U200","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",28.900000,-27.100000,0.000000,top
"U201","USBLC6-2SC6","SOT-23-6",47.200000,-26.200000,180.000000,top
