"Designator","Mid X","Mid Y","Layer","Rotation"
"R212","81.95mm","-47.95mm","top","180.0"
"C403","72.16mm","-63.18875mm","top","0.0"
"R213","81.95mm","-35.95mm","top","180.0"
"C307","42.4068mm","-56.9952mm","top","90.0"
"C313","40.66875mm","-65.1375mm","top","90.0"
"L100","73.5mm","-44.4mm","top","180.0"
"J300","46.17mm","-77.67mm","top","180.0"
"R400","68.8375mm","-50.47mm","top","-90.0"
"C106","69.5875mm","-35mm","top","180.0"
"D300","45.15mm","-73.8mm","top","180.0"
"U100","69.55mm","-31.25mm","top","0.0"
"C315","44.1568mm","-59.7452mm","top","0.0"
"D205","48.25mm","-28.25mm","top","-90.0"
"R403","71.06mm","-64.53875mm","top","0.0"
"R103","81.05mm","-34.35mm","top","90.0"
"C206","58.218mm","-48.192mm","top","180.0"
"C303","49.1575mm","-68.2575mm","top","-90.0"
"R306","42.99mm","-67.4375mm","top","-90.0"
"R210","48.35mm","-25.45mm","top","-90.0"
"C312","44.74mm","-66.9375mm","top","0.0"
"L200","47.2014mm","-46.4877mm","top","180.0"
"C212","74mm","-38.75mm","top","90.0"
"C405","72.16mm","-66.58875mm","top","0.0"
"C202","53.138mm","-36.508mm","top","0.0"
"C105","73.05mm","-31.25mm","top","-90.0"
"R300","37.4mm","-50.16mm","top","90.0"
"U302","47.6375mm","-65.2375mm","top","270.0"
"R203","61.55mm","-45.91mm","top","90.0"
"R304","43.67875mm","-69.1375mm","top","0.0"
"C201","46.62mm","-41mm","top","180.0"
"C306","42.4068mm","-53.7352mm","top","90.0"
"C300","35.25mm","-49.35mm","top","180.0"
"C406","65.86mm","-64.88875mm","top","-90.0"
"U301","44.6568mm","-55.7352mm","top","0.0"
"C311","42.4068mm","-50.2352mm","top","180.0"
"J200","53.15mm","-25.3mm","top","-90.0"
"C204","49.808mm","-39.02mm","top","90.0"
"R404","70.56mm","-66.14875mm","top","90.0"
"C310","43.6575mm","-70.4875mm","top","0.0"
"R204","54.95mm","-36.04mm","top","90.0"
"C301","35.225mm","-51.05mm","top","180.0"
"U201","73.95mm","-41.45mm","top","0.0"
"C302","48.6575mm","-69.9875mm","top","180.0"
"R200","36.3mm","-41.05mm","top","180.0"
"U101","57.55mm","-62.65mm","top","0.0"
"D100","81.05mm","-31.75mm","top","90.0"
"R309","45.1568mm","-60.9952mm","top","0.0"
"C101","72.5mm","-46.675mm","top","-90.0"
"Y200","44.656mm","-38.6013mm","top","180.0"
"D400","68.35mm","-73.75mm","top","0.0"
"R206","52.69mm","-48.25mm","top","0.0"
"C205","44.05mm","-41mm","top","0.0"
"D201","58.1mm","-22.65mm","top","-90.0"
"C208","49.9216mm","-43.3349mm","top","90.0"
"C104","53.3mm","-62.9mm","top","90.0"
"R211","64.45mm","-40.45mm","top","-90.0"
"J201","82.700mm","-40.150mm","top","270.0"
"C103","56.05mm","-58.9mm","top","180.0"
"R100","57.05mm","-55.65mm","top","90.0"
"D204","51.9308mm","-31.026mm","top","180.0"
"L201","68.875mm","-41.35mm","top","180.0"
"R303","50.15mm","-65.95mm","top","90.0"
"C401","66.45mm","-51.65mm","top","180.0"
"R308","42.4068mm","-60.4952mm","top","-90.0"
"R209","53mm","-33.21mm","top","90.0"
"U200","55.65mm","-42.35mm","top","270.0"
"R301","48.6375mm","-72.4875mm","top","180.0"
"R405","67.35mm","-69.99mm","top","90.0"
"L101","69.55mm","-25.25mm","top","0.0"
"R208","54.5mm","-33.21mm","top","90.0"
"C200","48.284mm","-38.4762mm","top","90.0"
"C404","70.08mm","-63.18875mm","top","180.0"
"C203","31.27mm","-39.45mm","top","0.0"
"C108","53.3mm","-69.17mm","top","90.0"
"U303","43.5mm","-64.4375mm","top","180.0"
"C102","66.05mm","-31.25mm","top","-90.0"
"R302","48.6575mm","-71.2375mm","top","0.0"
"D200","31.45mm","-42.55mm","top","-90.0"
"C305","40.9068mm","-56.4952mm","top","90.0"
"D203","55.5716mm","-31.026mm","top","0.0"
"C100","74.5mm","-46.675mm","top","-90.0"
"C308","47.17mm","-62.55mm","top","0.0"
"U400","67.95mm","-55.65mm","top","0.0"
"R401","68.45mm","-59.5mm","top","0.0"
"R205","44.04mm","-42.1mm","top","180.0"
"R402","68.45mm","-60.65mm","top","180.0"
"R207","58.3mm","-31mm","top","90.0"
"C400","66.74mm","-50.205mm","top","180.0"
"R102","67.3375mm","-33.75mm","top","0.0"
"R201","36.3mm","-44.05mm","top","180.0"
"U102","56.1625mm","-68.87mm","top","0.0"
"D202","58.3316mm","-28.012mm","top","90.0"
"R105","57.3mm","-66.42mm","top","180.0"
"R104","55.06mm","-66.42mm","top","180.0"
"C211","46.518mm","-44.4179mm","top","90.0"
"R307","41.24mm","-66.9375mm","top","0.0"
"U401","68.21mm","-65.88875mm","top","270.0"
"C309","43.1368mm","-51.7352mm","top","180.0"
"C314","45mm","-62.1mm","top","180.0"
"C107","59.95mm","-68.95mm","top","-90.0"
"C402","64.96875mm","-55.19125mm","top","-90.0"
"C210","50.6324mm","-19.786mm","top","0.0"
"R101","69.5875mm","-33.75mm","top","0.0"
"R202","36.26mm","-45.55mm","top","180.0"
"C304","40.6568mm","-53.2352mm","top","90.0"
"R305","45.1568mm","-50.4952mm","top","-90.0"
"C209","48.1944mm","-44.3919mm","top","90.0"
"J400","67.25mm","-77.75mm","top","180.0"
"U300","37.9693mm","-58.1952mm","top","0.0"
"C207","61.5mm","-39.4mm","top","-90.0"
