Designator,Mid X,Mid Y,Rotation,Layer
C100,47.75,-29.249837,270.0,top
C101,45.75,-29.249837,270.0,top
C102,39.3,-13.824837,270.0,top
C103,29.3,-41.474837,180.0,top
C104,26.55,-45.474837,90.0,top
C105,46.3,-13.824837,270.0,top
C107,33.2,-51.524837,270.0,top
C108,26.55,-51.744837,90.0,top
C200,21.534,-21.051037,90.0,top
C201,19.87,-23.574837,180.0,top
C202,26.388,-19.082837,0.0,top
C203,4.52,-22.024837,0.0,top
C204,23.058,-21.594837,90.0,top
C205,17.3,-23.574837,0.0,top
C206,31.468,-30.766837,180.0,top
C207,34.75,-21.974837,270.0,top
C208,23.1716,-25.909737,90.0,top
C209,21.4444,-26.966737,90.0,top
C210,23.8824,-2.360837,0.0,top
C211,19.768,-26.992737,90.0,top
C212,47.25,-21.324837,90.0,top
C300,8.5,-31.924837,180.0,top
C301,8.475,-33.624837,180.0,top
C302,21.9075,-52.562337,180.0,top
C303,22.4075,-50.832337,270.0,top
C304,13.9068,-35.810037,90.0,top
C305,14.1568,-39.070037,90.0,top
C306,15.6568,-36.310037,90.0,top
C307,15.6568,-39.570037,90.0,top
C308,20.42,-45.124837,0.0,top
C309,16.3868,-34.310037,180.0,top
C310,16.9075,-53.062337,0.0,top
C311,15.6568,-32.810037,180.0,top
C312,17.99,-49.512337,0.0,top
C313,13.91875,-47.712337,90.0,top
C314,18.25,-44.674837,180.0,top
C315,17.4068,-42.320037,0.0,top
C400,39.99,-32.779837,180.0,top
C401,39.7,-34.224837,180.0,top
C402,38.21875,-37.766087,270.0,top
C403,45.41,-45.763587,0.0,top
C404,43.33,-45.763587,180.0,top
C405,45.41,-49.163587,0.0,top
C406,39.11,-47.463587,270.0,top
D100,54.3,-14.324837,90.0,top
D200,4.7,-25.124837,270.0,top
D201,31.35,-5.224837,270.0,top
D202,31.5816,-10.586837,90.0,top
D203,28.8216,-13.600837,0.0,top
D204,25.1808,-13.600837,180.0,top
D205,21.5,-10.824837,270.0,top
D300,18.4,-56.374837,180.0,top
D400,41.6,-56.324837,0.0,top
J200,26.4,-7.874837,270.0,top
J201,56.6,-24.524837,90.0,top
J300,19.42,-63.059837,180.0,top
J400,40.5,-63.139837,180.0,top
L100,46.75,-26.974837,180.0,top
L101,42.8,-7.824837,0.0,top
L200,20.4514,-29.062537,180.0,top
L201,42.125,-23.924837,180.0,top
R100,30.3,-38.224837,90.0,top
R101,42.8375,-16.324837,0.0,top
R102,40.5875,-16.324837,0.0,top
R103,54.3,-16.924837,90.0,top
R104,28.31,-48.994837,180.0,top
R105,30.55,-48.994837,180.0,top
R200,9.55,-23.624837,180.0,top
R201,9.55,-26.624837,180.0,top
R202,9.51,-28.124837,180.0,top
R203,34.8,-28.484837,90.0,top
R204,28.2,-18.614837,90.0,top
R205,17.29,-24.674837,180.0,top
R206,25.94,-30.824837,0.0,top
R207,31.55,-13.574837,90.0,top
R208,27.75,-15.784837,90.0,top
R209,26.25,-15.784837,90.0,top
R210,21.6,-8.024837,270.0,top
R211,37.7,-23.024837,270.0,top
R212,55.2,-30.524837,180.0,top
R213,55.2,-18.524837,180.0,top
R300,10.65,-32.734837,90.0,top
R301,21.8875,-55.062337,180.0,top
R302,21.9075,-53.812337,0.0,top
R303,23.4,-48.524837,90.0,top
R304,16.92875,-51.712337,0.0,top
R305,18.4068,-33.070037,270.0,top
R306,16.24,-50.012337,270.0,top
R307,14.49,-49.512337,0.0,top
R308,15.6568,-43.070037,270.0,top
R309,18.4068,-43.570037,0.0,top
R400,42.0875,-33.044837,270.0,top
R401,41.7,-42.074837,0.0,top
R402,41.7,-43.224837,180.0,top
R403,44.31,-47.113587,0.0,top
R404,43.81,-48.723587,90.0,top
R405,40.6,-52.564837,90.0,top
U100,42.8,-13.824837,0.0,top
U101,30.8,-45.224837,180.0,top
U102,29.4125,-51.444837,0.0,top
U200,28.9,-24.924837,270.0,top
U201,47.2,-24.024837,0.0,top
U300,11.2193,-40.770037,0.0,top
U301,17.9068,-38.310037,0.0,top
U302,20.8875,-47.812337,270.0,top
U303,16.75,-47.012337,180.0,top
U400,41.2,-38.224837,0.0,top
U401,41.46,-48.463587,270.0,top
Y200,17.906,-21.176137,180.0,top
